epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss_epoch,train_loss_step,train_mae_K_epoch,train_mae_K_step,train_rmse_K_epoch,train_rmse_K_step,val_loss,val_mae_K,val_rmse_K
0,,,419,,0.039108242839574814,,21.89227294921875,,26.98486328125,,,
,0.0001,0.0001,424,,,,,,,,,
0,,,424,,0.04672440141439438,,20.357948303222656,,29.495647430419922,,,
,0.0001,0.0001,429,,,,,,,,,
0,,,429,,0.043515339493751526,,21.09836196899414,,28.464744567871094,,,
,0.0001,0.0001,434,,,,,,,,,
0,,,434,,0.09006266295909882,,29.89385986328125,,41.27229690551758,,,
,0.0001,0.0001,439,,,,,,,,,
0,,,439,,0.12649685144424438,,29.473880767822266,,54.79161071777344,,,
,0.0001,0.0001,444,,,,,,,,,
0,,,444,,0.1539030373096466,,39.725669860839844,,54.28887176513672,,,
,0.0001,0.0001,449,,,,,,,,,
0,,,449,,0.02554822713136673,,16.696802139282227,,21.810546875,,,
,0.0001,0.0001,454,,,,,,,,,
0,,,454,,0.06542474031448364,,26.0616512298584,,34.90254592895508,,,
,0.0001,0.0001,459,,,,,,,,,
0,,,459,,0.036659125238657,,17.733470916748047,,26.126258850097656,,,
,0.0001,0.0001,464,,,,,,,,,
0,,,464,,0.07483108341693878,,30.899145126342773,,37.32735061645508,,,
,0.0001,0.0001,469,,,,,,,,,
0,,,469,,0.05109773576259613,,26.552204132080078,,30.845149993896484,,,
,0.0001,0.0001,474,,,,,,,,,
0,,,474,,0.01742873713374138,,13.949699401855469,,18.01436996459961,,,
,0.0001,0.0001,479,,,,,,,,,
0,,,479,,0.05587063729763031,,24.52890396118164,,32.253578186035156,,,
,0.0001,0.0001,484,,,,,,,,,
0,,,484,,0.05269317328929901,,23.21746826171875,,31.322994232177734,,,
,0.0001,0.0001,489,,,,,,,,,
0,,,489,,0.022696223109960556,,16.25942039489746,,20.55714988708496,,,
,0.0001,0.0001,494,,,,,,,,,
0,,,494,,0.16508759558200836,,35.92201232910156,,66.42143249511719,,,
,0.0001,0.0001,499,,,,,,,,,
0,,,499,,0.10137258470058441,,36.00259017944336,,43.445655822753906,,,
,0.0001,0.0001,504,,,,,,,,,
